                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4272,                 1.9838,                 1.6033,                0.73839,                0.46341,                0.55931,                0.24539,                  1.584,                 2.7018,                 1.9901,             0.00065625,             0.00065625,             0.00065625
                      2,                 1.3233,                 1.5098,                  1.501,                 0.7679,                0.65312,                0.69323,                0.36915,                 1.6913,                 2.0689,                 1.9304,             0.00066807,             0.00066807,             0.00066807
